,Dialogue_Generated,Symptoms,Descriptions,Metas,Language_Style,Tone,Detail_Level,Enumeration,Explicit_Symptom,Spelling_Errors
0," ""I've been having these weird lines on my nails for a while now, and I'm really scared that it's some kind of disease.""","['Nail ridging', 'Nosebleed']","['Presence/Absence', 'Frequency']","['No', 'Prefer not to answer']",Neutral/Standard Register,Fearful,3,False,False,True
1," ""I have been feeling really dizzy lately, and my vagina is super dry.""","['Vaginal dryness', 'Dizziness']","['Severity', 'Interference (with daily activities)']","['Prefer not to answer', 'Not at all']",Informal Register,Neutral,4,False,False,False
2," ""My mouth is as dry as the Sahara desert, and my skin is as red as a fire engine.""","['Dry Mouth', 'Radiation skin reaction']","['Severity', 'Severity']","['Prefer not to answer', 'Severe']",Poetic/Literary Register,Neutral,2,False,False,True
3," ""I got these bloody periods/vaginal bleeding, and my hands and feet are all cracked and peeling, and I got this bloody periods/vaginal bleeding again. It's all so bloody annoying.""","['Irregular periods/vaginal bleeding', 'Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Irregular periods/vaginal bleeding']","['Presence/Absence', 'Severity', 'Presence/Absence']","['No', 'Severe', 'Prefer not to answer']",Vulgar Register,Angry,2,False,True,True
4," ""I have had vaginal dryness, muscle pain, and itching since I started menopause.""","['Vaginal dryness', 'Muscle pain', 'Itching']","['Severity', 'Severity', 'Severity']","['Very severe', 'Prefer not to answer', 'None']",Neutral/Standard Register,Neutral,3,False,True,False
5," ""I smell like a stinky sock and I ain't got no desire to get it on with nobody.""","['Body odor', 'Decreased libido']","['Severity', 'Severity']","['Mild', 'None']",Neutral/Standard Register,Insulting,1,False,False,True
6," ""I've been having some joint pain and increased sweating lately.""","['Joint pain', 'Increased sweating', 'Delayed orgasm']","['Severity', 'Frequency', 'Presence/Absence']","['Not applicable', 'Occasionally', 'Not applicable']",Informal Register,Neutral,2,False,False,True
7," ""I'm having a bit of trouble concentrating, I'm feeling pretty sad, and my memory is very poor.""","['Concentration', 'Sad', 'Memory']","['Interference (with daily activities)', 'Frequency', 'Severity']","['Somewhat', 'Prefer not to answer', 'Very severe']",Vulgar Register,Friendly,2,False,True,False
8," ""My urine is a shade of yellow that I've never seen before, and I'm not hungry at all, but I'm so sensitive to the sun that I have to stay inside all the time.""","['Change in usual urine color', 'Decreased appetite', 'Sensitivity to sunlight']","['Presence/Absence', 'Interference (with daily activities)', 'Presence/Absence']","['Yes', 'Not at all', 'No']",Poetic/Literary Register,Confused,1,False,False,False
9," ""My heart is burning with a fire that will not cease, and my ears are ringing with a sound that will not leave me in peace.""","['Ringing in ears', 'Heartburn']","['Severity', 'Severity']","['Mild', 'Moderate']",Poetic/Literary Register,Fearful,2,False,False,False
10," ""I got these bloody muscle pains everywhere, and my piss is all bloody and dark coloured, it's like I'm pissing blood and it's really severe, I can't even stand up straight, I'm in so much pain.""","['Muscle pain', 'Change in usual urine color']","['Severity', 'Presence/Absence']","['Very severe', 'Prefer not to answer']",Vulgar Register,Neutral,5,False,False,True
11," ""My limbs are numb and tingle, as if a thousand bees are stinging me, and I cannot feel the touch of my lover, as if I am made of stone.""","['Numbness & tingling', 'Unable to have orgasm']","['Interference (with daily activities)', 'Presence/Absence']","['Quite a bit', 'Not applicable']",Poetic/Literary Register,Fearful,5,False,False,False
12," ""I ain't never had no orgasm, so I ain't got no idea what the hell you're talking about.""","['Delayed orgasm', 'Vaginal dryness']","['Presence/Absence', 'Severity']","['Prefer not to answer', 'None']",Vulgar Register,Angry,1,False,False,False
13," ""I have been experiencing urinary incontinence and flashing lights for a while now, but I am not sure what is causing it.""","['Urinary incontinence', 'Flashing lights']","['Frequency', 'Presence/Absence']","['Prefer not to answer', 'Yes']",Formal Register,Confused,4,False,True,True
14," ""My mind is a dark forest, where memories are twisted and distorted, and sleep is a distant dream.""","['Insomnia', 'Memory']","['Interference (with daily activities)', 'Severity']","['Not at all', 'Very severe']",Poetic/Literary Register,Neutral,2,False,False,False
15," ""You are a walking disaster, aren't you?""","['Nail ridging', 'Blurred vision']","['Presence/Absence', 'Interference (with daily activities)']","['Not applicable', 'Very much']",Neutral/Standard Register,Insulting,1,False,False,False
16," ""I have been experiencing mild itching, hives, and sadness. I have been unable to achieve and maintain an erection.""","['Itching', 'Hives', 'Achieve and maintain erection', 'Sad']","['Severity', 'Presence/Absence', 'Severity', 'Interference (with daily activities)']","['Not applicable', 'Prefer not to answer', 'Mild', 'Very much']",Neutral/Standard Register,Confused,4,False,True,False
17," ""I have been experiencing changes in my voice quality, and it is very itchy. I have diarrhea frequently.""","['Voice quality changes', 'Itching', 'Diarrhea']","['Presence/Absence', 'Severity', 'Frequency']","['Yes', 'Not applicable', 'Frequently']",Formal Register,Confused,5,False,False,True
18," ""I got these bloody hiccups and me mouth is all cracked and shit, and I got this rash everywhere and I keep shitting myself and I ain't got no bloody period no more.""","['Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Hiccups', 'Rash', 'Urinary incontinence', 'Irregular periods/vaginal bleeding']","['Severity', 'Severity', 'Presence/Absence', 'Interference (with daily activities)', 'Presence/Absence']","['Moderate', 'Prefer not to answer', 'Yes', 'Somewhat', 'Yes']",Vulgar Register,Fearful,1,False,True,True
19," ""I have noticed that my vagina is very dry and itchy, especially during sexual intercourse. I also have some ridges on my nails which are quite painful when I try to cut them.""","['Vaginal dryness', 'Nail ridging']","['Severity', 'Presence/Absence']","['Not applicable', 'Prefer not to answer']",Formal Register,Friendly,5,False,True,False
20," ""You're a real pain in the ass, insomnia, and I'm not just whistling Dixie, either. Your urinary urgency is a real kick in the crotch, and those flashing lights are a real pain in the neck.""","['Insomnia', 'Urinary urgency', 'Flashing lights']","['Severity', 'Interference (with daily activities)', 'Presence/Absence']","['Not applicable', 'A little bit', 'No']",Vulgar Register,Insulting,4,False,False,False
21," ""I've been having this weird problem with my body. I wake up every morning and my voice sounds all hoarse and rough. It's like I've been screaming for hours. And it's not just my voice, I've also been having this really annoying ringing in my ears. It's like someone is constantly tapping on my eardrums. And to top it all off, I've been sweating like crazy and my body smells really bad. I don't know what's going on with me, but I'm really worried.""","['Voice quality changes', 'Ringing in ears', 'Body odor']","['Presence/Absence', 'Severity', 'Severity']","['No', 'Very severe', 'None']",Informal Register,Angry,3,False,False,False
22," ""My feet are often heavy and I have to drag them along, as if they were filled with lead, and I frequently lose my balance and fall down.""","['Fatigue', 'Fecal incontinence']","['Severity', 'Frequency']","['Moderate', 'Frequently']",Poetic/Literary Register,Friendly,4,False,True,False
23," ""My shoes are drenched in a sticky, yellow liquid, and I can barely feel my feet anymore.""","['Decreased sweating', 'Vaginal discharge']","['Presence/Absence', 'Amount']","['Prefer not to answer', 'Very much']",Poetic/Literary Register,Confused,1,False,False,True
24," ""I have been experiencing occasional nosebleeds, which are usually not severe, but I have noticed that I have been bleeding more frequently over the past few months. I also have difficulty swallowing at times, especially when I eat or drink something hot. Additionally, I have noticed a decrease in my libido over the past year or so.""","['Nosebleed', 'Difficulty Swallowing', 'Decreased libido']","['Frequency', 'Severity', 'Severity']","['Rarely', 'Moderate', 'Moderate']",Formal Register,Angry,4,False,False,False
25," ""I feel like I gotta pee all the time, but I can hold it for a bit. I don't poop as often as I should, but it's not like I'm constipated or anything. And I don't really feel like having sex.""","['Urinary urgency', 'Constipation', 'Decreased libido']","['Interference (with daily activities)', 'Severity', 'Severity']","['Not at all', 'Prefer not to answer', 'None']",Informal Register,Neutral,3,False,False,True
26," ""Oh, you are one of those medical professionals who thinks they are above the law, aren't you? You think you can just come in here and start poking around in my private business, without so much as a by-your-leave? Well, let me tell you something, my friend. I've got news for you. I'm not some common, run-of-the-mill patient. I'm a special case. I'm a patient with a special condition, and I'm not going to let you just waltz in here and start poking around in my private business without so much as a by-your-leave. So, if you want to know what's wrong with me, you're going to have to do a lot better than that. You're going to have to do a lot more than just ask me a few questions and expect me to answer them. You're going to have to do a lot more than that. You're going to have to do a lot more than that. You're going to have to do a lot more than that. You're going to have to do a lot more than that. You're going to have to do a lot more than that. You're going to have to do a lot more than that. You're going to have to do a lot more than that. You're going to have to do a lot more than that. You're going to have to do a lot more than that. You're going to have to","['Bruising', 'Hives', 'Joint pain']","['Presence/Absence', 'Presence/Absence', 'Frequency']","['Not applicable', 'Prefer not to answer', 'Never']",Poetic/Literary Register,Insulting,4,False,True,True
27," ""A constant ringing in my ears, a numbness and tingling sensation in my limbs, and a severe vaginal dryness.""","['Ringing in ears', 'Numbness & tingling', 'Vaginal dryness']","['Severity', 'Severity', 'Severity']","['Mild', 'Very severe', 'Severe']",Poetic/Literary Register,Neutral,3,True,False,False
28," ""I have had hives since I started radiation therapy, and they are getting worse. My skin is also very dry and itchy. I have also noticed that I have been having trouble remembering things lately. My memory is not as good as it used to be. I am also having trouble with my sex drive. I used to have a lot of sex with my wife, but now I do not want to have sex with her. I am also having trouble with my body odor. I used to shower every day, but now I only shower every other day. I am very embarrassed about my body odor.""","['Hives', 'Radiation skin reaction', 'Memory', 'Ejaculation', 'Body odor']","['Presence/Absence', 'Severity', 'Interference (with daily activities)', 'Frequency', 'Severity']","['Prefer not to answer', 'Moderate', 'Not at all', 'Prefer not to answer', 'Severe']",Neutral/Standard Register,Fearful,4,False,True,True
29," ""Itching, Redness, Dryness, Burning Sensation, Pain with sexual intercourse, Stretch marks.""","['Itching', 'Pain with sexual intercourse', 'Stretch marks']","['Severity', 'Severity', 'Presence/Absence']","['Prefer not to answer', 'None', 'No']",Formal Register,Friendly,3,True,False,False
30," ""I feel really tired all the time and my heart beats really fast sometimes. I also pee a lot and I feel like I gotta go really bad even when I just peed.""","['Fatigue', 'Heart palpitations', 'Urinary frequency', 'Urinary urgency']","['Severity', 'Frequency', 'Frequency', 'Frequency']","['Severe', 'Rarely', 'Prefer not to answer', 'Frequently']",Informal Register,Neutral,3,False,True,True
31," ""I feel like I'm always tired and my bladder is always full, it's so annoying!""","['Fatigue', 'Urinary frequency']","['Interference (with daily activities)', 'Interference (with daily activities)']","['A little bit', 'Somewhat']",Informal Register,Angry,5,False,False,True
32," ""I have dark skin and I can't poop.""","['Skin darkening', 'Constipation']","['Presence/Absence', 'Severity']","['Yes', 'None']",Informal Register,Confused,2,False,False,False
33," ""I have been experiencing severe heartburn lately.""","['Heartburn', 'Pain and swelling at injection site']","['Severity', 'Presence/Absence']","['Severe', 'Not applicable']",Neutral/Standard Register,Fearful,1,False,False,True
34," ""My urinary frequency is a constant reminder of my mortality.""","['Urinary frequency', 'Bed/pressure sores', 'Decreased libido']","['Frequency', 'Presence/Absence', 'Severity']","['Never', 'Yes', 'Severe']",Poetic/Literary Register,Confused,1,False,False,False
35," ""Easy bruising and bleeding, Excess tearing.""","['Bruising', 'Watery eyes']","['Presence/Absence', 'Interference (with daily activities)']","['No', 'Somewhat']",Vulgar Register,Fearful,1,True,False,False
36," ""I've been feelin like my voice is all hoarse and crackly like a frog or somethin, and I can't remember where I put my keys half the time, and I've been gettin this weird discharge from my vagina that's all yellow and stinky like a rotten egg.""","['Voice quality changes', 'Memory', 'Vaginal discharge']","['Presence/Absence', 'Severity', 'Amount']","['Prefer not to answer', 'Very severe', 'Not at all']",Vulgar Register,Confused,3,False,False,True
37," ""I have noticed that my urine color has changed and I have been experiencing heart palpitations.""","['Change in usual urine color', 'Heart palpitations']","['Presence/Absence', 'Severity']","['No', 'Prefer not to answer']",Formal Register,Confused,1,False,False,False
38," ""You're peeing blood, you're sweating like a pig and you're pissing fire. What's wrong with you, you sicko?""","['Change in usual urine color', 'Increased sweating', 'Painful urination']","['Presence/Absence', 'Severity', 'Severity']","['Not applicable', 'Very severe', 'Very severe']",Informal Register,Insulting,5,True,False,True
39," ""I have this burning sensation in my chest that's making me feel like I'm on fire.""","['Heartburn', 'Dry Mouth', 'Mouth/throat sores']","['Severity', 'Severity', 'Interference (with daily activities)']","['None', 'Severe', 'Quite a bit']",Informal Register,Angry,3,False,False,False
40," ""I've been noticing that my nails are getting a little bit yellowish.""","['Nail discoloration', 'Dry Mouth']","['Presence/Absence', 'Severity']","['No', 'None']",Neutral/Standard Register,Friendly,1,False,False,True
41," ""I got these cracks in the corners of me mouth, and it hurts like hell, ya know?""","['Cracking at the corners of the mouth (cheilosis/cheilitis)', 'General pain']","['Severity', 'Interference (with daily activities)']","['Moderate', 'Somewhat']",Vulgar Register,Friendly,2,False,False,True
42," ""I'm having this constant pain in my joints and my urine color has changed, but I don't know what's wrong with me. I'm so angry about this, I can't sleep at night because of the pain and I'm so frustrated that I don't know what to do. I'm so angry that I could scream, but I'm too tired to even do that. I just want to feel better, but I don't know how to make it happen.""","['Change in usual urine color', 'Joint pain']","['Presence/Absence', 'Severity']","['Prefer not to answer', 'None']",Neutral/Standard Register,Angry,5,False,True,True
43," ""I'm sad all the time and I have diarrhea most of the time.""","['Sad', 'Diarrhea']","['Interference (with daily activities)', 'Frequency']","['Somewhat', 'Occasionally']",Neutral/Standard Register,Angry,1,False,False,False
